rodata;clube;cartao;atleta;num_camisa;posicao;minuto
2;Santos;Amarelo;Rodrigo Fernández;14;Meio-campo;76
2;Atletico-MG;Amarelo;Mariano;25;Zagueiro;93
2;Atletico-MG;Amarelo;Hyoran;20;Meio-campo;18
2;Santos;Amarelo;Luan Dias;97;Meio-campo;94
2;Santos;Amarelo;Douglas Moreira;19;Meio-campo;44
2;Atletico-MG;Amarelo;Otávio Henrique Passos Santos;5;Meio-campo;88
2;Vasco;Amarelo;Pedro Raul;9;Atacante;57
2;Vasco;Amarelo;Jair Rodrigues Júnior;8;Meio-campo;7
2;Palmeiras;Amarelo;Gabriel Menino;25;Meio-campo;33
2;Vasco;Amarelo;Gabriel Pec;11;Atacante;85
2;Vasco;Amarelo;Lucas Piton;6;Zagueiro;11
2;Palmeiras;Amarelo;Murilo Cerqueira;26;Zagueiro;90
2;Palmeiras;Amarelo;José Rafael Vivian;8;Meio-campo;16
2;Coritiba;Amarelo;Alef Manga;11;Atacante;68
2;Fortaleza;Amarelo;Calebe Gonçalves Ferreira da Silva;27;Meio-campo;69
2;Fortaleza;Amarelo;Emanuel Brítez;19;Zagueiro;72
2;Goias;Amarelo;Julián Palacios;10;Meio-campo;82
2;Goias;Amarelo;Matheus Peixoto;17;Atacante;45
2;Corinthians;Amarelo;Fausto Vera;5;Meio-campo;52
2;Goias;Amarelo;Lucas Halter;3;Zagueiro;84
2;Goias;Amarelo;Zé Ricardo;5;Meio-campo;68
2;Goias;Amarelo;Bruno Melo;19;Zagueiro;26
2;Corinthians;Amarelo;Fábio Santos;6;Zagueiro;21
2;Bahia;Amarelo;Gabriel Teixeira;11;Atacante;92
2;Botafogo-RJ;Amarelo;Tiquinho Soares;9;Atacante;72
2;Botafogo-RJ;Amarelo;Leonel Di Plácido;24;Zagueiro;92
3;Coritiba;Amarelo;Kaio César Andrade Lima;37;Atacante;71
3;Coritiba;Amarelo;Bruno Gomes;6;Meio-campo;38
3;Sao Paulo;Amarelo;Michel Araújo;15;Meio-campo;78
3;Coritiba;Amarelo;Gabriel Vasconcellos Ferreira;1;Goleiro;66
3;Coritiba;Amarelo;Benjamín Kuscevic;13;Zagueiro;34
3;Fluminense;Amarelo;John Kennedy;9;Meio-campo;23
3;Fluminense;Amarelo;Keno;11;Atacante;87
3;Fluminense;Amarelo;Gabriel Pirani;20;Meio-campo;20
3;Palmeiras;Amarelo;Mayke;12;Zagueiro;55
3;Corinthians;Amarelo;Du Queiroz;37;Zagueiro;77
3;Corinthians;Amarelo;Róger Guedes;10;Meio-campo;21
3;Palmeiras;Amarelo;Rafael Navarro;29;Atacante;72
3;Palmeiras;Amarelo;Joaquín Piquerez;22;Zagueiro;39
3;Corinthians;Amarelo;Giuliano Victor de Paula;20;Meio-campo;72
3;Santos;Amarelo;Nathan Santos;22;Zagueiro;33
3;America-MG;Amarelo;Iago Maidana;3;Zagueiro;92
3;America-MG;Amarelo;Alexandre Egea;16;Meio-campo;43
3;Santos;Amarelo;Rodrigo Fernández;14;Meio-campo;45
3;Santos;Amarelo;Douglas Moreira;19;Meio-campo;27
3;America-MG;Amarelo;Everaldo;37;Meio-campo;72
3;America-MG;Amarelo;Éder;33;Zagueiro;28
3;Santos;Vermelho;Eduardo;4;Zagueiro;93
3;Bragantino;Amarelo;Cleiton Schwengber;1;Goleiro;79
3;Bragantino;Amarelo;Thiago Borbas;18;Atacante;67
3;Cruzeiro;Amarelo;Neris;27;Zagueiro;77
3;Cruzeiro;Amarelo;Ramiro;17;Meio-campo;32
3;Bragantino;Vermelho;Cleiton Schwengber;1;Goleiro;79
3;Bragantino;Amarelo;Jadsom;5;Meio-campo;67
3;Bragantino;Amarelo;Hélio Junio Nunes de Castro;11;Meio-campo;38
3;Cruzeiro;Amarelo;Luciano Castán;4;Zagueiro;73
3;Bragantino;Vermelho;Aderlan Silva;13;Zagueiro;27
3;Atletico-MG;Amarelo;Mauricio Lemos;28;Zagueiro;68
3;Athletico-PR;Amarelo;Agustín Canobbio;14;Atacante;98
3;Athletico-PR;Amarelo;Alex Paulo Menezes Santana;80;Meio-campo;64
3;Athletico-PR;Vermelho;Alex Paulo Menezes Santana;80;Meio-campo;80
3;Atletico-MG;Amarelo;Éverson Felipe Marques Pires;22;Goleiro;98
3;Atletico-MG;Amarelo;Réver;4;Zagueiro;29
3;Athletico-PR;Amarelo;Léo Linck;23;Goleiro;86
3;Flamengo;Amarelo;David Luiz;23;Zagueiro;74
3;Flamengo;Amarelo;Gabriel Barbosa;10;Meio-campo;30
3;Botafogo-RJ;Amarelo;Tiquinho Soares;9;Atacante;85
3;Flamengo;Amarelo;Thiago Maia;8;Meio-campo;77
3;Flamengo;Amarelo;Arturo Vidal;32;Meio-campo;43
3;Botafogo-RJ;Amarelo;Víctor Cuesta;15;Zagueiro;102
3;Botafogo-RJ;Amarelo;Rafael Pereira da Silva;2;Zagueiro;45
3;Botafogo-RJ;Vermelho;Rafael Pereira da Silva;2;Zagueiro;51
3;Cuiaba;Amarelo;Deyverson;16;Atacante;81
3;Cuiaba;Amarelo;Raniele;14;Meio-campo;45
3;Gremio;Amarelo;João Paulo Bitello;39;Meio-campo;91
3;Cuiaba;Vermelho;Patric;94;Zagueiro;97
3;Gremio;Amarelo;Walter Kannemann;4;Zagueiro;81
3;Gremio;Amarelo;Mila;45;Meio-campo;37
3;Cuiaba;Amarelo;Ronald;8;Meio-campo;71
3;Cuiaba;Amarelo;Patric;94;Zagueiro;35
3;Gremio;Amarelo;Diogo Barbosa;6;Zagueiro;88
3;Gremio;Amarelo;Bruno Alves;34;Zagueiro;40
3;Internacional;Amarelo;Gabriel Mercado;25;Zagueiro;72
3;Internacional;Amarelo;Carlos de Pena;14;Meio-campo;45
3;Goias;Vermelho;Magno Jose da Silva;2;Zagueiro;61
3;Internacional;Amarelo;Alexandre Alemão;35;Atacante;97
3;Internacional;Amarelo;Alan Patrick;10;Meio-campo;58
3;Goias;Amarelo;Magno Jose da Silva;2;Zagueiro;61
3;Vasco;Amarelo;Andrey Santos;18;Meio-campo;42
3;Bahia;Amarelo;Ademir;7;Meio-campo;53
3;Bahia;Amarelo;Nicolás Acevedo;26;Meio-campo;18
3;Bahia;Amarelo;Vítor Jacaré;29;Zagueiro;97
3;Bahia;Amarelo;Matheus Bahia Santos;79;Zagueiro;31
4;Cruzeiro;Amarelo;Richard Candido Coelho;25;Meio-campo;83
4;Cruzeiro;Amarelo;Ramiro;17;Meio-campo;69
4;Cruzeiro;Amarelo;Matheus Jussa;18;Zagueiro;23
4;Santos;Amarelo;Gabriel Inocêncio;12;Zagueiro;64
4;Cruzeiro;Amarelo;Henrique Dourado;99;Atacante;89
4;Cruzeiro;Amarelo;Oliveira;6;Zagueiro;80
4;Cruzeiro;Amarelo;William de Asevedo Furtado;12;Zagueiro;45
4;Santos;Amarelo;Rodrigo Fernández;14;Meio-campo;66
4;Santos;Amarelo;Lucas Rafael Araújo Lima;23;Meio-campo;38
4;Fluminense;Amarelo;John Kennedy;9;Atacante;77
4;Fluminense;Amarelo;André;7;Meio-campo;40
4;Vasco;Amarelo;Figueiredo;15;Atacante;93
4;Fluminense;Amarelo;Felipe Melo;30;Zagueiro;43
4;Vasco;Amarelo;Eguinaldo;21;Atacante;95
4;Vasco;Amarelo;Leo Jardim;1;Goleiro;45
4;America-MG;Vermelho;Matheus Cavichioli;1;Goleiro;89
4;America-MG;Amarelo;Mateus Gonçalves Martins;27;Atacante;80
4;America-MG;Amarelo;Alexandre Egea;16;Meio-campo;31
4;Cuiaba;Amarelo;Mateusinho;98;Zagueiro;94
4;Cuiaba;Amarelo;Alan Empereur;33;Zagueiro;57
4;America-MG;Amarelo;Marlon;6;Zagueiro;51
4;Cuiaba;Amarelo;Pablo Cepellini;10;Meio-campo;94
4;Cuiaba;Amarelo;Ronald;8;Meio-campo;69
4;Bahia;Amarelo;Vítor Jacaré;29;Meio-campo;45
4;Coritiba;Amarelo;Jamerson Bahia;83;Meio-campo;88
4;Coritiba;Amarelo;Victor Luis;26;Zagueiro;67
4;Coritiba;Amarelo;Gabriel Boschilia;35;Meio-campo;52
4;Bahia;Amarelo;Gabriel Teixeira;11;Atacante;51
4;Coritiba;Amarelo;Matheus Bianqui;17;Meio-campo;100
4;Coritiba;Amarelo;Henrique Adriano Buss;3;Zagueiro;77
4;Coritiba;Amarelo;Bruno Viana;5;Zagueiro;55
4;Coritiba;Amarelo;Willian Farias;8;Meio-campo;32
4;Athletico-PR;Amarelo;Erick Luis Conrado Carvalho;26;Meio-campo;64
4;Flamengo;Amarelo;Gabriel Barbosa;10;Atacante;32
4;Athletico-PR;Amarelo;Fernandinho;5;Meio-campo;96
4;Flamengo;Amarelo;Erick Pulgar;5;Meio-campo;74
4;Sao Paulo;Amarelo;Wellington Rato;27;Meio-campo;82
4;Sao Paulo;Amarelo;Rafinha;13;Zagueiro;45
4;Internacional;Amarelo;Rodrigo Moledo;4;Zagueiro;79
4;Internacional;Amarelo;Maurício Magalhães Prado;27;Meio-campo;58
4;Sao Paulo;Amarelo;Gabriel Neves;20;Meio-campo;58
4;Internacional;Amarelo;Lucca Holanda Sampaio Tavares;45;Atacante;87
4;Internacional;Amarelo;Gabriel Mercado;25;Zagueiro;67
4;Gremio;Amarelo;Gustavo Martins;53;Zagueiro;76
4;Gremio;Amarelo;Bruno Uvini;15;Zagueiro;44
4;Bragantino;Amarelo;Matheus Fernandes;35;Meio-campo;40
4;Gremio;Amarelo;Nathan;7;Meio-campo;88
4;Gremio;Amarelo;Everton;13;Meio-campo;67
4;Gremio;Amarelo;Vina;11;Meio-campo;31
4;Bragantino;Amarelo;Vitor Hugo Naum dos Santos;28;Atacante;5
4;Botafogo-RJ;Amarelo;Lucas Fernandes da Silva;18;Meio-campo;63
4;Atletico-MG;Amarelo;Rodrigo Battaglia;21;Meio-campo;40
4;Atletico-MG;Amarelo;Mauricio Lemos;28;Zagueiro;54
4;Atletico-MG;Amarelo;Rubens;44;Zagueiro;28
4;Goias;Amarelo;Diego;20;Zagueiro;68
4;Palmeiras;Amarelo;Endrick;9;Atacante;76
4;Palmeiras;Amarelo;José Rafael Vivian;8;Meio-campo;68
4;Palmeiras;Amarelo;Raphael Cavalcante Veiga;23;Meio-campo;45
4;Goias;Vermelho;Lucas Halter;3;Zagueiro;41
4;Goias;Amarelo;Bruno Melo;19;Zagueiro;14
4;Palmeiras;Amarelo;Gustavo Gómez;15;Zagueiro;70
4;Palmeiras;Amarelo;Joaquín Piquerez;22;Meio-campo;66
4;Palmeiras;Amarelo;Mayke;12;Zagueiro;25
4;Corinthians;Amarelo;Murillo;34;Zagueiro;76
4;Fortaleza;Amarelo;Silvio Romero;18;Atacante;99
4;Corinthians;Amarelo;Fausto Vera;5;Meio-campo;62
4;Fortaleza;Amarelo;Bruno Pacheco;6;Zagueiro;13
5;Santos;Amarelo;Deivid Washington;36;Atacante;42
5;Bahia;Amarelo;Nicolás Acevedo;26;Meio-campo;45
5;Bahia;Amarelo;Jhoanner Chávez;6;Meio-campo;3
5;Santos;Amarelo;Lucas Rafael Araújo Lima;23;Meio-campo;68
5;Bahia;Amarelo;Kanu;4;Zagueiro;89
5;Bahia;Amarelo;Neuciano Gusmão;40;Meio-campo;25
5;Santos;Amarelo;Lucas Braga Ribeiro;30;Atacante;45
5;Internacional;Amarelo;Gabriel Barros;42;Atacante;94
5;Athletico-PR;Amarelo;Vitor Bueno;8;Meio-campo;95
5;Athletico-PR;Amarelo;Pedro Henrique Ribeiro Gonçalves;34;Zagueiro;73
5;Internacional;Amarelo;Igor Gomes;21;Zagueiro;70
5;Athletico-PR;Amarelo;Bento Matheus Krepski;1;Goleiro;92
5;Athletico-PR;Amarelo;Hugo Moura;17;Meio-campo;28
5;Bragantino;Amarelo;Vitor Hugo Naum dos Santos;28;Meio-campo;86
5;Bragantino;Amarelo;Thiago Borbas;18;Atacante;55
5;America-MG;Amarelo;Éder;33;Zagueiro;59
5;America-MG;Amarelo;Márcio Almeida de Oliveira;25;Zagueiro;45
5;Bragantino;Amarelo;Eduardo Santos;26;Zagueiro;101
5;Bragantino;Amarelo;Jadsom;5;Meio-campo;77
5;Bragantino;Amarelo;Eduardo Sasha;19;Atacante;16
5;America-MG;Amarelo;Everaldo;37;Meio-campo;49
5;Atletico-MG;Amarelo;Eduardo Vargas;11;Atacante;45
5;Cuiaba;Amarelo;Marllon Borges;4;Zagueiro;47
5;Atletico-MG;Amarelo;Matías Zaracho;15;Meio-campo;37
5;Goias;Amarelo;Vinícius Santos Silva;7;Meio-campo;42
5;Fluminense;Amarelo;Fábio Deivson Lopes Maciel;1;Goleiro;80
5;Fluminense;Amarelo;Manoel Messias Silva Carvalho;26;Zagueiro;75
5;Fluminense;Amarelo;Marcelo Vieira da Silva Júnior;12;Zagueiro;20
5;Fluminense;Vermelho;André;7;Meio-campo;77
5;Cruzeiro;Amarelo;Wesley Ribeiro Silva;11;Meio-campo;42
5;Fluminense;Amarelo;André;7;Meio-campo;77
5;Fluminense;Amarelo;Thiago dos Santos;29;Meio-campo;72
5;Palmeiras;Amarelo;José Rafael Vivian;8;Meio-campo;27
5;Gremio;Amarelo;Bruno Uvini;15;Zagueiro;55
5;Gremio;Amarelo;Mathías Villasanti;20;Meio-campo;29
5;Palmeiras;Amarelo;Joaquín Piquerez;22;Zagueiro;82
5;Gremio;Amarelo;Walter Kannemann;4;Zagueiro;61
5;Gremio;Amarelo;Gabriel Grando;12;Goleiro;51
